val,h1,h2,time_arduino,time_python
9179,1.32,16.44,909978.0,1708079633.6029058
9180,1.28,16.49,910069.0,1708079633.6901107
9181,1.23,16.52,910160.0,1708079633.7800717
9182,1.17,16.51,910253.0,1708079633.8702805
9183,1.08,16.54,910344.0,1708079633.9654973
9184,1.01,16.51,910435.0,1708079634.056962
9185,0.98,16.51,910526.0,1708079634.1459277
9186,1.01,16.58,910617.0,1708079634.2388692
9187,1.08,16.56,910709.0,1708079634.328896
9188,1.22,16.48,910800.0,1708079634.419125
9189,1.36,16.42,910892.0,1708079634.5152414
9190,1.51,16.32,910983.0,1708079634.6032472
9191,1.55,16.3,911075.0,1708079634.69385
9192,1.49,16.26,911166.0,1708079634.7877262
9193,1.41,16.19,911257.0,1708079634.878762
9194,1.39,16.18,911348.0,1708079634.9678614
9195,1.42,16.19,911439.0,1708079635.0580494
9196,1.33,16.21,911532.0,1708079635.1532106
9197,1.22,16.26,911623.0,1708079635.242634
9198,1.17,16.29,911714.0,1708079635.3353646
9199,1.09,16.3,911805.0,1708079635.4266052
9200,1.03,16.25,911896.0,1708079635.518783
9201,0.98,16.27,911988.0,1708079635.6078353
9202,0.91,16.32,912079.0,1708079635.7019346
9203,0.83,16.31,912171.0,1708079635.7921088
9204,0.8,16.23,912262.0,1708079635.8840294
9205,0.89,16.15,912354.0,1708079635.975474
9206,1.02,16.1,912445.0,1708079636.0655837
9207,1.14,16.06,912536.0,1708079636.1557202
9208,1.25,16.0,912627.0,1708079636.2457402
9209,1.35,15.94,912718.0,1708079636.3434515
9210,1.5,15.91,912811.0,1708079636.4310908
9211,1.71,15.86,912902.0,1708079636.521221
9212,1.89,15.82,912993.0,1708079636.6152847
9213,2.02,15.81,913084.0,1708079636.70549
9214,2.15,15.8,913176.0,1708079636.7945879
9215,2.27,15.86,913267.0,1708079636.8902361
9216,2.38,15.9,913358.0,1708079636.9799643
9217,2.51,15.92,913449.0,1708079637.069089
9218,2.59,15.97,913541.0,1708079637.1691813
9219,2.66,15.99,913633.0,1708079637.2533343
9220,2.74,16.01,913724.0,1708079637.3452876
9221,2.79,16.08,913815.0,1708079637.4345832
9222,2.86,16.09,913906.0,1708079637.52873
9223,2.96,16.11,913997.0,1708079637.62599
9224,3.08,16.17,914089.0,1708079637.7079222
9225,3.16,16.17,914181.0,1708079637.8020756
9226,3.26,16.21,914272.0,1708079637.8931246
9227,3.33,16.26,914363.0,1708079637.9832592
9228,3.42,16.25,914455.0,1708079638.0785918
9229,3.49,16.32,914546.0,1708079638.1686954
9230,3.55,16.32,914637.0,1708079638.2584743
