val,h1,h2,time_arduino,time_python
279,55.14,37.43,91572.0,1708080617.5052755
280,55.04,37.49,91664.0,1708080617.5994494
281,55.05,37.47,91755.0,1708080617.6915255
282,55.01,37.54,91846.0,1708080617.779667
283,54.87,37.57,91937.0,1708080617.8698158
284,54.71,37.57,92029.0,1708080617.9670882
285,54.6,37.63,92121.0,1708080618.0550346
286,54.5,37.66,92212.0,1708080618.1461887
287,54.42,37.69,92303.0,1708080618.2394397
288,54.36,37.72,92394.0,1708080618.328537
289,54.31,37.76,92486.0,1708080618.4196858
290,54.24,37.79,92577.0,1708080618.5088184
291,54.27,37.82,92668.0,1708080618.6080732
292,54.39,37.87,92760.0,1708080618.693062
293,54.44,37.89,92851.0,1708080618.7851527
294,54.39,37.93,92943.0,1708080618.877093
295,54.38,37.98,93034.0,1708080618.9684787
296,54.51,38.01,93125.0,1708080619.057619
297,54.62,38.03,93216.0,1708080619.1518023
298,54.67,38.07,93307.0,1708080619.2413235
299,54.76,38.12,93400.0,1708080619.3329632
300,54.85,38.16,93491.0,1708080619.4261436
301,54.92,38.19,93582.0,1708080619.5163038
302,54.98,38.24,93673.0,1708080619.6065521
303,55.09,38.25,93765.0,1708080619.6975474
304,55.16,38.27,93856.0,1708080619.7931705
305,55.1,38.31,93947.0,1708080619.8820248
306,54.98,38.36,94039.0,1708080619.972044
307,54.84,38.42,94130.0,1708080620.065031
308,54.89,38.43,94222.0,1708080620.1577446
309,55.01,38.48,94313.0,1708080620.2484155
310,54.9,38.49,94404.0,1708080620.3405445
311,54.88,38.52,94495.0,1708080620.4319558
312,54.91,38.57,94586.0,1708080620.5197856
313,54.92,38.59,94679.0,1708080620.6160371
314,54.99,38.62,94770.0,1708080620.7049963
315,55.04,38.66,94861.0,1708080620.7961547
316,55.06,38.7,94952.0,1708080620.8862815
317,55.14,38.73,95044.0,1708080620.981552
318,55.27,38.78,95135.0,1708080621.0686352
319,55.37,38.8,95226.0,1708080621.1622968
320,55.38,38.83,95318.0,1708080621.2534673
321,55.37,38.87,95409.0,1708080621.3440268
322,55.42,38.91,95501.0,1708080621.4341514
323,55.53,38.96,95592.0,1708080621.528297
324,55.67,39.02,95683.0,1708080621.6177998
325,55.79,39.04,95774.0,1708080621.710542
326,55.77,39.04,95865.0,1708080621.8009186
327,55.63,39.08,95958.0,1708080621.8917089
328,55.53,39.11,96049.0,1708080621.9824023
329,55.57,39.15,96140.0,1708080622.0720396
330,55.64,39.19,96231.0,1708080622.1685529
331,55.6,39.23,96322.0,1708080622.256395
332,55.57,39.26,96414.0,1708080622.3472557
333,55.58,39.29,96505.0,1708080622.4454849
334,55.6,39.33,96596.0,1708080622.5307534
335,55.68,39.37,96688.0,1708080622.6226788
336,55.72,39.4,96780.0,1708080622.7171195
337,55.74,39.43,96871.0,1708080622.805137
338,55.76,39.47,96962.0,1708080622.895221
339,55.8,39.5,97053.0,1708080622.9905086
340,55.9,39.55,97144.0,1708080623.0806296
341,56.0,39.58,97236.0,1708080623.1712337
342,56.06,39.6,97328.0,1708080623.2618766
343,56.06,39.63,97419.0,1708080623.3549843
344,56.08,39.68,97510.0,1708080623.447148
345,56.18,39.72,97601.0,1708080623.5341883
346,56.31,39.75,97693.0,1708080623.628378
347,56.36,39.79,97784.0,1708080623.718517
348,56.48,39.83,97875.0,1708080623.8122025
349,56.55,39.83,97967.0,1708080623.9030225
350,56.43,39.86,98058.0,1708080623.9999938
351,56.2,39.91,98150.0,1708080624.083122
352,56.08,39.92,98241.0,1708080624.177198
353,56.07,39.95,98332.0,1708080624.2673714
354,55.98,40.01,98423.0,1708080624.3594885
355,55.83,40.04,98515.0,1708080624.4516141
356,55.72,40.05,98607.0,1708080624.5416942
357,55.64,40.1,98698.0,1708080624.6319861
358,55.58,40.13,98789.0,1708080624.721985
359,55.5,40.15,98880.0,1708080624.8162327
360,55.28,40.17,98972.0,1708080624.9058166
361,55.29,40.23,99063.0,1708080624.9962423
362,55.37,40.27,99154.0,1708080625.0916073
363,55.44,40.31,99246.0,1708080625.1807187
364,55.46,40.35,99337.0,1708080625.2718556
365,55.55,40.38,99429.0,1708080625.3649015
366,55.63,40.39,99520.0,1708080625.4559326
367,55.54,40.42,99611.0,1708080625.54523
368,55.34,40.47,99702.0,1708080625.635362
369,55.16,40.49,99793.0,1708080625.732489
370,55.12,40.51,99886.0,1708080625.8201976
371,55.09,40.54,99977.0,1708080625.9097486
372,54.97,40.59,100068.0,1708080626.0129647
373,54.82,40.61,100159.0,1708080626.0933976
374,54.69,40.65,100251.0,1708080626.1892185
375,54.62,40.68,100342.0,1708080626.2783463
376,54.57,40.71,100433.0,1708080626.3684094
377,54.5,40.75,100525.0,1708080626.4627163
378,54.39,40.78,100616.0,1708080626.5526893
379,54.28,40.8,100708.0,1708080626.6439583
380,54.22,40.83,100799.0,1708080626.7419326
381,54.27,40.91,100890.0,1708080626.8270392
382,54.44,40.92,100981.0,1708080626.9173284
383,54.53,40.94,101072.0,1708080627.0123427
384,54.53,41.0,101165.0,1708080627.1025813
385,54.54,41.0,101256.0,1708080627.1917057
386,54.53,41.07,101347.0,1708080627.281856
387,54.6,41.09,101438.0,1708080627.376078
388,54.62,41.11,101530.0,1708080627.4660761
389,54.49,41.15,101621.0,1708080627.5582411
390,54.28,41.17,101712.0,1708080627.6504211
391,54.14,41.23,101804.0,1708080627.7406046
392,54.11,41.21,101895.0,1708080627.8326986
393,54.0,41.27,101987.0,1708080627.920822
394,53.79,41.31,102078.0,1708080628.016929
395,53.73,41.32,102169.0,1708080628.1050143
396,53.73,41.37,102260.0,1708080628.196199
397,53.66,41.39,102351.0,1708080628.297207
398,53.54,41.45,102444.0,1708080628.3804715
399,53.45,41.45,102535.0,1708080628.4695506
400,53.37,41.5,102626.0,1708080628.5653203
401,53.24,41.54,102717.0,1708080628.6542635
402,53.2,41.54,102809.0,1708080628.7436135
403,53.14,41.57,102900.0,1708080628.8393822
404,53.01,41.62,102991.0,1708080628.9312246
405,52.9,41.67,103083.0,1708080629.0185313
406,52.83,41.66,103174.0,1708080629.1095915
407,52.76,41.72,103266.0,1708080629.2026818
408,52.67,41.73,103357.0,1708080629.2970943
409,52.64,41.77,103448.0,1708080629.3839548
410,52.65,41.84,103539.0,1708080629.4781833
411,52.94,41.84,103630.0,1708080629.577205
412,52.98,41.89,103723.0,1708080629.658304
413,53.03,41.91,103814.0,1708080629.7515004
414,53.08,41.96,103905.0,1708080629.843887
415,53.16,42.0,103996.0,1708080629.9327948
416,53.23,42.02,104087.0,1708080630.026924
417,53.3,42.08,104179.0,1708080630.1170702
418,53.38,42.08,104270.0,1708080630.206115
419,53.49,42.17,104361.0,1708080630.2993114
420,53.65,42.15,104453.0,1708080630.3904169
421,53.55,42.16,104545.0,1708080630.4815412
422,53.36,42.23,104636.0,1708080630.5726604
423,53.2,42.24,104727.0,1708080630.66546
424,53.14,42.29,104818.0,1708080630.7549949
425,53.13,42.29,104909.0,1708080630.8451648
426,52.96,42.37,105001.0,1708080630.939237
427,52.81,42.37,105093.0,1708080631.0293822
428,52.69,42.38,105184.0,1708080631.1203535
429,52.62,42.44,105275.0,1708080631.2147806
430,52.6,42.47,105366.0,1708080631.3038375
431,52.56,42.51,105458.0,1708080631.3949077
432,52.46,42.52,105549.0,1708080631.4881077
433,52.35,42.57,105640.0,1708080631.581232
434,52.32,42.6,105732.0,1708080631.6704009
435,52.39,42.63,105824.0,1708080631.7603424
436,52.47,42.66,105915.0,1708080631.859336
437,52.57,42.68,106006.0,1708080631.9437814
438,52.63,42.73,106097.0,1708080632.0328941
439,52.65,42.75,106188.0,1708080632.1299489
440,52.66,42.81,106280.0,1708080632.2181509
441,52.71,42.83,106372.0,1708080632.3102598
442,52.86,42.85,106463.0,1708080632.4095209
443,52.96,42.92,106554.0,1708080632.4936411
444,53.01,42.96,106645.0,1708080632.583766
445,53.13,42.97,106737.0,1708080632.6718922
446,53.17,42.97,106828.0,1708080632.765984
447,53.01,43.03,106919.0,1708080632.8570986
448,52.79,43.06,107011.0,1708080632.9472632
449,52.7,43.1,107102.0,1708080633.040384
450,52.67,43.11,107194.0,1708080633.1325073
451,52.59,43.15,107285.0,1708080633.2216043
452,52.44,43.18,107376.0,1708080633.3158813
453,52.3,43.19,107467.0,1708080633.4059248
454,52.22,43.23,107559.0,1708080633.4980192
455,52.18,43.26,107651.0,1708080633.5892534
456,52.1,43.28,107742.0,1708080633.6813765
457,51.95,43.32,107833.0,1708080633.771301
458,51.87,43.37,107924.0,1708080633.8627448
459,51.86,43.4,108016.0,1708080633.9548724
460,51.9,43.42,108107.0,1708080634.043839
461,52.0,43.47,108198.0,1708080634.1338637
462,52.09,43.5,108290.0,1708080634.228159
463,52.13,43.53,108381.0,1708080634.3212514
464,52.14,43.56,108473.0,1708080634.4123683
465,52.15,43.61,108564.0,1708080634.5025759
466,52.21,43.63,108655.0,1708080634.5926652
467,52.27,43.65,108746.0,1708080634.6838646
468,52.27,43.7,108837.0,1708080634.776923
469,52.31,43.72,108930.0,1708080634.869085
470,52.45,43.79,109021.0,1708080634.9572358
471,52.63,43.8,109112.0,1708080635.0502815
472,52.57,43.8,109203.0,1708080635.141377
473,52.4,43.86,109295.0,1708080635.2316055
474,52.32,43.9,109386.0,1708080635.322514
475,52.33,43.94,109477.0,1708080635.4169266
476,52.39,43.94,109569.0,1708080635.5081232
477,52.35,44.0,109660.0,1708080635.5961664
478,52.35,44.02,109752.0,1708080635.693259
479,52.37,44.02,109843.0,1708080635.7824845
480,52.35,44.06,109934.0,1708080635.871593
481,52.35,44.12,110025.0,1708080635.9648805
482,52.41,44.15,110117.0,1708080636.054806
