,h1,h2,time_arduino,time_python
242,63.39,36.17,89494.0,1708084031.7157545
243,63.46,36.2,89586.0,1708084031.8068998
244,63.36,36.16,89677.0,1708084031.900956
245,63.23,36.22,89768.0,1708084031.9909005
246,63.06,36.28,89860.0,1708084032.079317
247,62.98,36.3,89951.0,1708084032.171014
248,62.94,36.32,90043.0,1708084032.263617
249,62.83,36.37,90134.0,1708084032.3515966
250,62.66,36.44,90225.0,1708084032.4448059
251,62.59,36.41,90316.0,1708084032.5349865
252,62.58,36.47,90407.0,1708084032.6251118
253,62.45,36.53,90500.0,1708084032.724008
254,62.28,36.5,90591.0,1708084032.80936
255,62.16,36.57,90682.0,1708084032.899512
256,62.19,36.64,90773.0,1708084032.9967968
257,62.28,36.68,90864.0,1708084033.0847423
258,62.17,36.65,90956.0,1708084033.1745515
259,62.01,36.67,91047.0,1708084033.2741086
260,61.83,36.78,91139.0,1708084033.3582308
261,61.72,36.78,91230.0,1708084033.4502265
262,61.72,36.78,91321.0,1708084033.5404606
263,61.63,36.86,91413.0,1708084033.6326048
264,61.51,36.91,91504.0,1708084033.722259
265,61.36,36.92,91595.0,1708084033.8138454
266,61.32,36.93,91686.0,1708084033.9069157
267,61.31,37.01,91779.0,1708084033.9981923
268,61.15,37.04,91870.0,1708084034.0872197
269,61.05,37.0,91961.0,1708084034.1834688
270,60.99,37.1,92052.0,1708084034.2715485
271,60.96,37.18,92143.0,1708084034.362718
272,61.06,37.16,92235.0,1708084034.4615548
273,61.19,37.19,92326.0,1708084034.5459664
274,61.24,37.24,92418.0,1708084034.636091
275,61.15,37.28,92509.0,1708084034.728113
276,61.16,37.29,92600.0,1708084034.8203397
277,61.3,37.33,92692.0,1708084034.911419
278,61.35,37.44,92783.0,1708084035.0015817
279,61.49,37.62,92874.0,1708084035.0958142
280,61.58,37.74,92965.0,1708084035.1849558
281,61.64,37.83,93057.0,1708084035.275957
282,61.75,37.85,93149.0,1708084035.370211
283,61.73,37.84,93240.0,1708084035.459146
284,61.56,37.88,93331.0,1708084035.5494492
285,61.48,37.95,93422.0,1708084035.6435978
286,61.59,37.98,93513.0,1708084035.733658
287,61.68,38.0,93605.0,1708084035.8236928
288,61.64,38.05,93697.0,1708084035.9201052
289,61.61,38.1,93788.0,1708084036.008196
290,61.67,38.09,93879.0,1708084036.0991917
291,61.67,38.14,93971.0,1708084036.1882854
292,61.67,38.19,94062.0,1708084036.282897
293,61.65,38.2,94153.0,1708084036.3726928
294,61.64,38.26,94244.0,1708084036.463822
295,61.77,38.3,94336.0,1708084036.5591636
296,61.91,38.35,94428.0,1708084036.6510277
297,61.96,38.3,94519.0,1708084036.7365172
298,62.0,38.17,94610.0,1708084036.8273122
299,62.06,38.19,94701.0,1708084036.9214342
300,62.16,38.15,94792.0,1708084037.0145538
301,62.18,38.2,94884.0,1708084037.1026835
302,62.24,38.27,94976.0,1708084037.1959326
303,62.41,38.27,95067.0,1708084037.287643
304,62.51,38.33,95158.0,1708084037.3771806
305,62.6,38.37,95249.0,1708084037.4713073
306,62.72,38.42,95341.0,1708084037.5634186
307,62.71,38.4,95432.0,1708084037.653573
308,62.54,38.46,95523.0,1708084037.7466745
309,62.3,38.56,95614.0,1708084037.8355155
310,62.27,38.55,95706.0,1708084037.9268851
311,62.25,38.54,95798.0,1708084038.0169244
312,62.07,38.61,95889.0,1708084038.1092994
313,61.95,38.65,95980.0,1708084038.2024257
314,61.89,38.61,96071.0,1708084038.2924304
315,61.81,38.65,96163.0,1708084038.3836806
316,61.65,38.73,96254.0,1708084038.4737904
317,61.57,38.74,96346.0,1708084038.5639126
318,61.56,38.76,96437.0,1708084038.658169
